timestamp,selections
2026-02-15T21:14:11.933Z,"1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
2026-02-15T21:14:32.863Z,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
